sqft,floors,bedrooms,bathrooms,price
5650,1,3,1,221900
7242,2,3,2.25,538000
10000,1,2,1,180000
5000,1,4,3,604000
8080,1,3,2,510000
101930,1,4,4.5,1.23E+06
6819,2,3,2.25,257500
9711,1,3,1.5,291850
7470,1,3,1,229500
6560,2,3,2.5,323000
9796,1,3,2.5,662500
6000,1,2,1,468000
19901,1.5,3,1,310000
9680,1,3,1.75,400000
4850,1.5,5,2,530000
5000,2,4,3,650000
14040,2,3,2,395000
4300,1.5,4,1,485000
9850,1,2,1,189000
9774,1,3,1,230000
4980,1,4,1.75,385000
44867,1,3,2.75,2.00E+06
6300,2,5,2.5,285000
9643,1,2,1.5,252700
6500,2,3,2.25,329000
4697,1.5,3,2,233000
2691,2,3,1.75,937000
1581,1.5,3,1,667000
6380,1,3,1.75,438000
7173,2,4,2.5,719000
3980,2,3,2.5,580500
1265,3,2,1.5,280000
5000,1.5,4,1.75,687500
3000,1.5,3,1,535000
6659,1,4,2.75,322500
3060,1.5,3,2.5,696000
34848,1,4,1,550000
6000,2,4,2,640000
8075,1,4,1,240000
7553,2,4,2.5,605000
5520,2,4,2.5,625000
24186,1,4,2.25,775000
5639,2,5,2.75,861990
2280,2,3,1,685000
9656,1,3,1,309000
13603,2,3,2.5,488000
8528,1,3,1,210490
13416,2,4,2.5,785000
5963,1,3,1.75,450000
65005,1,3,2.5,1.35E+06
9199,1,3,1,228000
9134,1,5,2.5,345000
4080,1,3,1.75,600000
8550,1,2,1.75,585000
6000,1.5,5,2.25,920000
5000,2,4,2.5,885000
4495,2,4,2.5,292500
4750,2,3,2.5,301000
14342,2,5,3.25,951000
9976,2,4,3,430000
21235,1,3,2.25,650000
8400,1,3,1.75,289000
8690,2,3,1.75,505000
1044,3,3,1.75,549000
6000,1,3,2.25,425000
3809,1.5,3,2.75,317625
11049,2,4,2.5,975000
4648,2,4,2.5,287000
12070,1,3,1,204000
20158,1,5,2.25,1.33E+06
50094,1,5,3.25,1.04E+06
5612,1,3,2,325000
7807,1.5,4,2,571000
5000,2,4,2.5,360000
50529,1,3,1.75,349000
35102,2,4,4,832500
7300,1,4,1.75,380000
5060,1,3,1,480000
5060,1,3,1,410000
39683,2,4,2.5,720000
5100,2,3,2.5,390000
5889,2,4,2.5,360000
6720,1,2,1,355000
8712,1,3,1.5,356000
6634,1,3,1,315000
3600,2,3,1.5,940000
8400,1.5,5,2.25,305000
6278,2,3,3.25,461000
2040,2,2,2.25,215000
1066,2,2,1.75,335000
7403,2,4,2.5,243500
6353,2,5,2.75,1.10E+06
10500,1,3,1,153000
5000,1,3,1.5,430000
5000,1,3,1.5,700000
10250,1,4,2.5,905000
15681,1,3,1.75,247500
6400,1,4,1.5,199000
41800,1,3,1.75,314000
36847,2,3,2.5,437500
13241,1.5,3,2.5,850830
3478,1.5,3,2,555000
107593,2,3,2.25,699950
8113,2,3,2.5,1.09E+06
33919,1,3,1,290000
10005,1,3,2.5,375000
4005,1.5,3,1,460000
2493,1,2,1.75,188500
28037,2,4,2.5,680000
12342,2,5,1.75,470000
9624,2,4,2.5,597750
3328,1,3,1.75,570000
12600,1,3,1.75,272500
5969,1,3,1.75,329950
16171,2,4,2.5,480000
6350,2,3,3.5,740500
1102,3,3,3.5,518500
6780,1,2,1,205425
9600,1,4,2,171800
2982,1.5,4,1,535000
6474,1,3,2.5,660000
9132,1,3,2,391500
6000,1,2,1,395000
4400,1.5,4,1.75,445000
10204,2,3,2.25,770000
17789,1.5,4,2.75,1.45E+06
8201,1,3,2.25,445000
8811,1,4,2.25,260000
4960,2,5,3.5,822500
4310,2,4,2.5,430000
7875,1,3,1.75,212000
9603,1,4,2.25,660500
111078,1.5,3,3.5,784000
2287,2,3,2.5,453246
2278,3,4,3.5,675000
17390,1,3,1.75,199000
7840,1,4,1.75,220000
10002,1,4,2.25,452000
4440,1,2,1,382500
1249,3,3,2.25,519950
3200,1,2,1,665000
9375,1,5,2.5,527700
8579,1,3,1,205000
8097,1,3,1,420000
8517,1,4,2.25,500000
315374,2,4,2.5,921500
4000,2,4,1,890000
60984,2,2,2.5,430000
12500,1,5,2,258000
3455,1,3,1,511000
3090,2,3,2,532170
5000,1.5,3,1,560000
8200,1,3,1,282950
19850,2,4,3.25,2.25E+06
5100,1,1,1,350000
7669,1,3,1,215000
25245,2,5,3.5,650000
7500,1,4,2.75,320000
7198,1.5,3,2,247000
11180,1,4,1.75,320000
8632,1,5,2.25,255000
9660,1,3,1.75,438000
16603,2,3,2.5,900000
7280,1,3,2.75,441000
38332,1,3,2,420000
7000,1,3,1.75,370000
7250,1,2,1.75,269950
4499,2,4,2.5,807100
9750,1,3,2.5,653000
8336,1,3,2,371500
21000,1,3,1.75,284000
7140,1,3,1.75,272000
7912,1.5,3,1.5,313000
35003,2,4,2.5,917500
8190,2,4,2.25,673000
1100,2,3,2.5,425000
5400,1,5,2.75,399950
4800,1,3,1,385000
7560,1,3,1.5,269950
8220,1,2,1,330000
5797,2,3,2.5,260000
5125,1.5,4,3,470000
9600,2,4,3,589000
3419,2,2,1.5,163500
13412,2,4,2.75,835000
